NAME,CATEGORY,SUBCAT,NAME_CLEAN
Jurong Green Community Club,OTHER_ORG,Community Centres,jurong green community club
Jurong Spring Community Club,OTHER_ORG,Community Centres,jurong spring community club
Kaki Bukit Community Centre,OTHER_ORG,Community Centres,kaki bukit community centre
Kallang Community Club,OTHER_ORG,Community Centres,kallang community club
Kampong Chai Chee Community Club,OTHER_ORG,Community Centres,kampong chai chee community club
Kampong Glam Community Club,OTHER_ORG,Community Centres,kampong glam community club
Kampong Kembangan Community Club,OTHER_ORG,Community Centres,kampong kembangan community club
Kampong Ubi Community Centre,OTHER_ORG,Community Centres,kampong ubi community centre
Katong Community Centre,OTHER_ORG,Community Centres,katong community centre
Keat Hong Community Club,OTHER_ORG,Community Centres,keat hong community club
Kebun Bahru Community Club,OTHER_ORG,Community Centres,kebun bahru community club
Kim Seng Community Centre,OTHER_ORG,Community Centres,kim seng community centre
Kolam Ayer Community Club,OTHER_ORG,Community Centres,kolam ayer community club
Kreta Ayer Community Club,OTHER_ORG,Community Centres,kreta ayer community club
Leng Kee Community Centre,OTHER_ORG,Community Centres,leng kee community centre
MacPherson Community Club,OTHER_ORG,Community Centres,macpherson community club
Marine Parade Community Club,OTHER_ORG,Community Centres,marine parade community club
Marsiling Community Club,OTHER_ORG,Community Centres,marsiling community club
Mountbatten Community Club,OTHER_ORG,Community Centres,mountbatten community club
Nanyang Community Club,OTHER_ORG,Community Centres,nanyang community club
Nee Soon Central Community Club,OTHER_ORG,Community Centres,nee soon central community club
Nee Soon East Community Club,OTHER_ORG,Community Centres,nee soon east community club
Nee Soon Link Community Centre,OTHER_ORG,Community Centres,nee soon link community centre
Nee Soon South Community Club,OTHER_ORG,Community Centres,nee soon south community club
Pasir Ris East Community Club,OTHER_ORG,Community Centres,pasir ris east community club
Pasir Ris Elias Community Club,OTHER_ORG,Community Centres,pasir ris elias community club
Paya Lebar Kovan Community Club,OTHER_ORG,Community Centres,paya lebar kovan community club
Pek Kio Community Centre,OTHER_ORG,Community Centres,pek kio community centre
Potong Pasir Community Club,OTHER_ORG,Community Centres,potong pasir community club
Punggol Community Club,OTHER_ORG,Community Centres,punggol community club
Punggol Park Community Centre,OTHER_ORG,Community Centres,punggol park community centre
Queenstown Community Centre,OTHER_ORG,Community Centres,queenstown community centre
Radin Mas Community Club,OTHER_ORG,Community Centres,radin mas community club
Rivervale Community Centre,OTHER_ORG,Community Centres,rivervale community centre
Sembawang Community Club,OTHER_ORG,Community Centres,sembawang community club
Sengkang Community Club,OTHER_ORG,Community Centres,sengkang community club
Senja-Cashew Community Centre,OTHER_ORG,Community Centres,senjacashew community centre
Siglap Community Centre,OTHER_ORG,Community Centres,siglap community centre
Siglap South Community Centre,OTHER_ORG,Community Centres,siglap south community centre
Taman Jurong Community Club,OTHER_ORG,Community Centres,taman jurong community club
Tampines Central Community Club,OTHER_ORG,Community Centres,tampines central community club
Tampines Changkat Community Club,OTHER_ORG,Community Centres,tampines changkat community club
Tampines East Community Club,OTHER_ORG,Community Centres,tampines east community club
Tampines North Community Club,OTHER_ORG,Community Centres,tampines north community club
Tampines West Community Club,OTHER_ORG,Community Centres,tampines west community club
Tanglin Community Club,OTHER_ORG,Community Centres,tanglin community club
Tanjong Pagar Community Club,OTHER_ORG,Community Centres,tanjong pagar community club
Teck Ghee Community Club,OTHER_ORG,Community Centres,teck ghee community club
Telok Ayer Hong Lim Green Community Centre,OTHER_ORG,Community Centres,telok ayer hong lim green community centre
Telok Blangah Community Club,OTHER_ORG,Community Centres,telok blangah community club
The Frontier Community Club,OTHER_ORG,Community Centres,the frontier community club
The Serangoon Community Club,OTHER_ORG,Community Centres,the serangoon community club
Thomson Community Club,OTHER_ORG,Community Centres,thomson community club
Tiong Bahru Community Centre,OTHER_ORG,Community Centres,tiong bahru community centre
Toa Payoh Central Community Club,OTHER_ORG,Community Centres,toa payoh central community club
Toa Payoh East Community Club,OTHER_ORG,Community Centres,toa payoh east community club
Toa Payoh South Community Club,OTHER_ORG,Community Centres,toa payoh south community club
Toa Payoh West Community Club,OTHER_ORG,Community Centres,toa payoh west community club
Ulu Pandan Community Club,OTHER_ORG,Community Centres,ulu pandan community club
West Coast Community Centre,OTHER_ORG,Community Centres,west coast community centre
Whampoa Community Club,OTHER_ORG,Community Centres,whampoa community club
Woodgrove Community Centre,OTHER_ORG,Community Centres,woodgrove community centre
Woodlands Community Club,OTHER_ORG,Community Centres,woodlands community club
Woodlands Galaxy Community Club,OTHER_ORG,Community Centres,woodlands galaxy community club
Yew Tee Community Club,OTHER_ORG,Community Centres,yew tee community club
Yio Chu Kang Community Club,OTHER_ORG,Community Centres,yio chu kang community club
Yuhua Community Club,OTHER_ORG,Community Centres,yuhua community club
Zhenghua Community Club,OTHER_ORG,Community Centres,zhenghua community club
CENTRAL SINGAPORE CDC,OTHER_ORG,Community Development Councils,central singapore cdc
NORTH EAST CDC,OTHER_ORG,Community Development Councils,north east cdc
NORTH WEST CDC,OTHER_ORG,Community Development Councils,north west cdc
SOUTH EAST CDC,OTHER_ORG,Community Development Councils,south east cdc
SOUTH WEST CDC,OTHER_ORG,Community Development Councils,south west cdc
ALEXANDRA HOSPITAL,OTHER_ORG,Hospitals,alexandra hospital
CHANGI GENERAL HOSPITAL,OTHER_ORG,Hospitals,changi general hospital
INSTITUTE OF MENTAL HEALTH,OTHER_ORG,Hospitals,institute of mental health
KHOO TECK PUAT HOSPITAL,OTHER_ORG,Hospitals,khoo teck puat hospital
KK WOMEN'S AND CHILDREN'S HOSPITAL,OTHER_ORG,Hospitals,kk womens and childrens hospital
NATIONAL UNIVERSITY HOSPITAL,OTHER_ORG,Hospitals,national university hospital
NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,OTHER_ORG,Hospitals,ng teng fong general hospital  jurong community hospital
SENGKANG GENERAL HOSPITAL,OTHER_ORG,Hospitals,sengkang general hospital
SINGAPORE GENERAL HOSPITAL,OTHER_ORG,Hospitals,singapore general hospital
TAN TOCK SENG HOSPITAL PTE LTD,OTHER_ORG,Hospitals,tan tock seng hospital pte ltd
WOODLANDS HEALTH,OTHER_ORG,Hospitals,woodlands health
Centre For Music And The Arts,OTHER_ORG,Institute of Technical Education,centre for music and the arts
INSTITUTE OF TECHNICAL EDUCATION,OTHER_ORG,Institute of Technical Education,institute of technical education
ASIAN BUSINESS LAW INSTITUTE,OTHER_ORG,Law Academy,asian business law institute
Singapore Academy of Law,OTHER_ORG,Law Academy,singapore academy of law
Aljunied Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,aljunied neighbourhood police post
Bedok Neighbourhood Police Post,OTHER_ORG,Police Posts > Manned NPPs,bedok neighbourhood police post
Chai Chee Neighbourhood Police Post (Self-Help Kiosk only),OTHER_ORG,Police Posts > Manned NPPs,chai chee neighbourhood police post
Changkat Neighbourhood Police Post,OTHER_ORG,Police Posts > Manned NPPs,changkat neighbourhood police post
Clementi Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,clementi neighbourhood police post
Commonwealth Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,commonwealth neighbourhood police post
Dover Neighbourhood Police Post,OTHER_ORG,Police Posts > Manned NPPs,dover neighbourhood police post
Hong Kah North Neighbourhood Police Post (Self-Help Kiosk Only)i,OTHER_ORG,Police Posts > Manned NPPs,hong kah north neighbourhood police posti
Hougang Neighbourhood Police Centre,OTHER_ORG,Police Posts > Manned NPPs,hougang neighbourhood police centre
Hougang Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,hougang neighbourhood police post
Joo Chiat Neighbourhood Police Post (Self-Help Kiosk only),OTHER_ORG,Police Posts > Manned NPPs,joo chiat neighbourhood police post
Kaki Bukit Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,kaki bukit neighbourhood police post
Kampong Kembangan Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,kampong kembangan neighbourhood police post
Kampong Ubi Neighbourhood Police Post (Self-Help Kiosk only),OTHER_ORG,Police Posts > Manned NPPs,kampong ubi neighbourhood police post
Kebun Baru Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,kebun baru neighbourhood police post
Kolam Ayer Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,kolam ayer neighbourhood police post
Paya Lebar Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,paya lebar neighbourhood police post
Potong Pasir Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,potong pasir neighbourhood police post
Serangoon Gardens Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,serangoon gardens neighbourhood police post
Serangoon North Neighbourhood Police Post(Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,serangoon north neighbourhood police post
Tampines North Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,tampines north neighbourhood police post
Tanah Merah Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,tanah merah neighbourhood police post
Teck Ghee Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,teck ghee neighbourhood police post
Telok Blangah Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Manned NPPs,telok blangah neighbourhood police post
Ayer Rajah Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,ayer rajah neighbourhood police post
Bishan Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,bishan neighbourhood police post
Boon Lay Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,boon lay neighbourhood police post
Boon Teck Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,boon teck neighbourhood police post
Bukit Batok Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,bukit batok neighbourhood police post
Bukit Panjang South Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,bukit panjang south neighbourhood police post
Bukit Timah Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,bukit timah neighbourhood police post
Buona Vista Neighbourhood Police Post (Self-Help Kiosk Only),OTHER_ORG,Police Posts > Redesigned NPPs,buona vista neighbourhood police post
